label;title;text
Aktuellt anslag;Håll entrén ren och trivsam!;Lämna inte tidningar eller reklam här! Återvinningsrummet ligger bara 100 meter bort.
#Aktuellt anslag;Vårstädning 2026;Hej alla medlemmar, det har blivit dags för vårstädning där vi tar ut utemöblerna och grillarna på innergården samt gör fint och fixar inför sommaren.Datum: Lördag 9/5-26 kl. 10:30.Styrelsen bjuder i vanlig ordning på kaffe/te och fika.Om någon känner sig inspirerad att plantera/göra fint i krukorna på innergården så får ni gärna gå in på bauhaus hemsida och komma med förslag på blommor så köper styrelsen in detta inför lördagen.

